장소,사유
급식실,가스 오븐으로 조리 중 불 발생
급식실,튀김 준비 중 기름 과열로 인한 화재 발생
급식실,음식물 조리 중 불 발생
급식실,가스 배관 결함으로 인한 화재 발생
급식실,밸브 미폐쇄 등으로 인한 가스 누출로 화재 발생
강당,무대 장치 과열로 인한 화재 발생
강당,조명 합선으로 인한 화재 발생
강당,무대 조명의 전기 과열로 인한 화재 발생
강당,무대 배선 결함으로 인한 화재 발생
강당,음향 장비에서 시작된 불이 커튼에 옮겨붙어 화재 발생
교실,벽걸이 선풍기에서 발화하여 화재 발생
교실,전기 콘센트 과부하로 인한 화재 발생
교실,노트북 배터리 과열로 인한 화재 발생
교실,조명 내부 배선 불량으로 스파크가 튀어 벽면에 화재 발생
교실,전열기 과열로 벽지와 커튼에 불이 붙어 화재 발생
교실,멀티탭에 여러 전자기기를 동시에 연결해 과열되며 화재 발생
교실,교실 천장 내부 전선 피복이 벗겨져 누전으로 불꽃이 발생하여 화재 발생
교실,충전 중이던 휴대폰이 과열되어 폭발하여 화재 발생
교실,교실 내 냉난방기 필터에 먼지가 쌓여 발열부와 접촉해 화재 발생
교실,형광등 안정기 노후화로 과열 및 스파크가 발생하여 천장 자재에 화재 발생
교실,교실 내 쓰레기통에 버려진 불씨 있는 휴지에서 불이 번져 화재 발생
교실,창가에 비춰진 햇빛이 돋보기를 통해 종이에 집중되어 자연 발화 화재 발생
교실,창가에 비춰진 햇빛이 유리컵을 통해 종이에 집중되어 자연 발화 화재 발생
교실,"천장 스피커 배선 피복이 벗겨져 철골 구조물과 접촉, 합선으로 화재 발생"
교실,교실에 방치된 배터리팩이 충전 중 폭발하며 화재 발생
과학실,장기간 방치된 비커를 물로 씻던 중 반응 폭발로 인한 화재 발생
과학실,고체 화학약품 폐기 중 폭발 및 불 발생
과학실,청소 중 나트륨을 물로 씻는 과정에서 화학반응 폭발로 인해 화재 발생
과학실,실험 도중 비커 폭발로 인한 화재 발생
과학실,시약 혼합 부주의로 인한 화재 발생
컴퓨터실,전선 결함으로 인한 화재 발생
컴퓨터실,컴퓨터 과열로 인한 화재 발생
컴퓨터실,배터리 장치 폭발로 인한 화재 발생
컴퓨터실,케이블 정리 불량으로 인한 화재 발생
컴퓨터실,멀티탭에 먼지가 쌓여 화재 발생
도서관,콘센트 과부하로 인한 화재 발생
도서관,냉난방 장치 과열로 인한 화재 발생
도서관,과열된 스탠드 조명 전구 접촉으로 인한 화재 발생
도서관,조명 기구 전선 노후로 인한 스파크가 책에 붙으며 화재 발생
도서관,배선 불량으로 인한 화재 발생
미술실,스프레이 페인트 통에 잔류 압축 가스가 남아 폭발하여 화재 발생
미술실,미술 스프레이 사용 부주의로 인한 화재 발생
미술실,열풍기를 켜놓고 근처 캔버스 천에 불이 붙어 화재 발생
미술실,열풍기 등 열기구 사용 부주의로 인한 화재 발생
미술실,페인트의 휘발성 화학물질 점화로 인한 화재 발생
학생 휴게실,스마트폰 충전 중 과열로 인한 화재 발생
학생 휴게실,멀티탭 과부하로 인한 화재 발생
학생 휴게실,히터 과열로 인한 화재 발생
학생 휴게실,보조배터리 충전 중 폭발로 인한 화재 발생
학생 휴게실,멀티탭에 쌓인 먼지로 인한 화재 발생
